,AdmArea,District,lat,lon,Address,Mark
177,Юго-Западный административный округ,район Тёплый Стан,55.6330151805512,37.4797133915126,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Теплый Стан, улица Академика Варги, дом 38",7.319683965234289
178,Центральный административный округ,Красносельский район,55.7648019937519,37.6340720993093,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Красносельский, Бобров переулок, дом 6, строение 1",9.29536380065601
179,Северный административный округ,район Аэропорт,55.7976139273204,37.5458044884726,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Аэропорт, улица 8 Марта, дом 15",7.890415138567555
180,Зеленоградский административный округ,район Матушкино,56.000501647117,37.208869530256,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Матушкино, город Зеленоград, корпус 401",6.395888406944526
181,Северный административный округ,Головинский район,55.846092209371,37.498380705657,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Головинский, Онежская улица, дом 17, корпус 4",3.471782916825832
182,Северо-Восточный административный округ,район Свиблово,55.8586372095976,37.6351179834455,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Свиблово, улица Седова, дом 3",2.111536284653006
183,Западный административный округ,район Тропарёво-Никулино,55.661155494333,37.4672384229,"город Москва, улица Академика Анохина, дом 30, корпус 3",4.889103748136417
184,Западный административный округ,район Фили-Давыдково,55.7343284530686,37.4696149583906,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Фили-Давыдково, Кастанаевская улица, дом 52, строение 2",7.343031194957349
185,Центральный административный округ,район Хамовники,55.718285676255,37.576119870302,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Хамовники, Фрунзенская набережная, дом 50",1.3929290578161535
186,Восточный административный округ,район Перово,55.7431599100333,37.7549872492969,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Перово, улица Аносова, дом 3, корпус 2",9.693790245710552
187,Северо-Восточный административный округ,район Северное Медведково,55.8901379580242,37.6781419990584,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Северное Медведково, Северодвинская улица, дом 11, корпус 2",2.1614517711694425
188,Восточный административный округ,район Сокольники,55.788923376009,37.675910996799,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Сокольники, улица Сокольническая Слободка, дом 14/18",8.639142762833188
189,Южный административный округ,район Бирюлёво Восточное,55.5955427632319,37.6572944875806,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Бирюлево Восточное, Касимовская улица, дом 21",2.2405078441130133
190,Юго-Западный административный округ,район Котловка,55.690361755419,37.585945947818,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Котловка, улица Дмитрия Ульянова, дом 43, корпус 1",0.6130499249443011
191,Западный административный округ,район Кунцево,55.7843060970605,37.357102392873,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Кунцево, Обводное шоссе, дом 6",0.4598130016842339
192,Восточный административный округ,район Косино-Ухтомский,55.722939511868,37.895479207917,"город Москва, Лухмановская улица, дом 17, корпус 1",4.629014605995798
193,Центральный административный округ,Таганский район,55.749532870744,37.6614733692259,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Таганский, Николоямский переулок, дом 3А, корпус 4",9.966766782056553
194,Зеленоградский административный округ,район Силино,55.995969685127,37.188828653865,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Силино, город Зеленоград, корпус 1106",4.955253111615622
195,Юго-Восточный административный округ,район Марьино,55.6476808816853,37.7152542583644,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Марьино, Донецкая улица, дом 33",9.973582227321263
196,Юго-Восточный административный округ,район Кузьминки,55.711444568878,37.759501447745,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Кузьминки, Жигулёвская улица, дом 6, корпус 2",2.8834823965291747
197,Южный административный округ,район Бирюлёво Западное,55.581676579406,37.649770496205,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Бирюлево Западное, Медынская улица, дом 11, строение 2",0.03457060583203386
198,Юго-Западный административный округ,Обручевский район,55.657441388607,37.518510256538,"город Москва, улица Обручева, дом 24",8.420143890612739
199,Северо-Восточный административный округ,Алексеевский район,55.82251575998,37.661488527518,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Алексеевский, улица Бориса Галушкина, дом 19, корпус 1",2.8411084550447074
200,Северо-Восточный административный округ,Ярославский район,55.852262138001,37.682105049708,"город Москва, Ярославское шоссе, дом 117",9.53717643087098
201,Юго-Восточный административный округ,район Люблино,55.6838174191403,37.7442557690665,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Люблино, Кубанская улица, дом 16/2",1.4494623295347553
202,Юго-Восточный административный округ,район Текстильщики,55.7139353476093,37.7312167433639,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Текстильщики, Саратовская улица, дом 1, корпус 2",6.441526370089655
203,Восточный административный округ,район Измайлово,55.79591234873,37.783079612792,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Измайлово, 3-я Парковая улица, дом 35",9.858989894583749
204,Северо-Восточный административный округ,район Бибирево,55.8946246925901,37.6108090393245,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Бибирево, улица Конёнкова, дом 23",3.4382347789022627
205,Южный административный округ,Даниловский район,55.7184749722263,37.6294733164832,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Даниловский, Даниловская набережная, дом 2, корпус 2",0.2059324909098137
206,Юго-Западный административный округ,район Ясенево,55.604466149807,37.530292920446,"город Москва, улица Паустовского, дом 3",4.008253027306024
207,Западный административный округ,район Очаково-Матвеевское,55.706495991423,37.4711713440605,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Очаково-Матвеевское, Нежинская улица, дом 13",3.729631606509286
208,Западный административный округ,район Дорогомилово,55.74408656551,37.544322020152,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Дорогомилово, Кутузовский проспект, дом 24",3.0954961134529912
209,Западный административный округ,район Раменки,55.6848110350142,37.4818377010524,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Раменки, улица Лобачевского, дом 100",2.142273597906288
210,Северо-Западный административный округ,район Южное Тушино,55.7910241968175,37.4842329975218,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Южное Тушино, бульвар Яна Райниса, дом 1",6.2344661847957
211,Северо-Западный административный округ,район Митино,55.8486003300563,37.3531238548458,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Митино, 3-й Митинский переулок, дом 2",9.173057520333222
212,Центральный административный округ,Басманный район,55.7601261024462,37.6469800947234,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Басманный, улица Покровка, дом 21-23/25, строение 3",6.5665356321307256
213,Центральный административный округ,район Арбат,55.752889919014,37.582523069365,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Арбат, Смоленская площадь, дом 13/21",4.383707472896492
214,Центральный административный округ,Пресненский район,55.7656337307988,37.5896008964628,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Пресненский, Садовая-Кудринская улица, дом 23, строение 1",1.0218897073279198
215,Центральный административный округ,Басманный район,55.767142657038804,37.6786341425031,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Басманный, Бауманская улица, дом 58/25, строение 14",1.7192250898105066
216,Центральный административный округ,район Хамовники,55.7435756190904,37.5809159036726,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Хамовники, 3-я Фрунзенская улица, дом 9",5.279173148913401
217,Центральный административный округ,Пресненский район,55.758468693561,37.537080645561,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Пресненский, Стрельбищенский переулок, дом 5, строение 3",6.582252848860844
218,Центральный административный округ,Басманный район,55.7549087227048,37.6512674801052,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Басманный, Дурасовский переулок, дом 9",5.560662461691707
219,Северный административный округ,район Восточное Дегунино,55.869281050931,37.562524098297,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Восточное Дегунино, Дубнинская улица, дом 16, корпус 1",6.4313531792421985
220,Северо-Восточный административный округ,район Марьина Роща,55.795750098808,37.615334253511,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Марьина Роща, Октябрьская улица, дом 103, корпус 1",8.035419337948603
221,Южный административный округ,Нагорный район,55.6696856135314,37.6080156443641,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Нагорный, Балаклавский проспект, дом 12, корпус 3",6.9767029980005795
222,Северо-Западный административный округ,район Покровское-Стрешнево,55.830726891121,37.457308922447,"город Москва, Большая Набережная улица, дом 15",4.037418088767022
223,Южный административный округ,район Чертаново Южное,55.604557277905,37.585925677253,"город Москва, Кировоградская улица, дом 44, корпус 2",2.2223568514404257
224,Юго-Восточный административный округ,Южнопортовый район,55.707396076391,37.668619999631,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Южнопортовый, улица Сайкина, дом 9/1",2.5721408346349426
225,Юго-Восточный административный округ,район Выхино-Жулебино,55.698085304065,37.844226857851,"город Москва, Привольная улица, дом 21",5.773719837050132
226,Восточный административный округ,район Перово,55.75826047001,37.776666103338,"город Москва, 1-я Владимирская улица, дом 15, корпус 3",6.811116063371378
227,Западный административный округ,район Солнцево,55.6490127542836,37.4105982296169,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Солнцево, улица Авиаторов, дом 7",4.68475986183234
228,Юго-Западный административный округ,район Коньково,55.6387237606343,37.5381936784834,"город Москва, Профсоюзная улица, дом 115, корпус 1",0.7993954077676846
229,Юго-Западный административный округ,район Южное Бутово,55.544234840196,37.562302162635,"город Москва, Изюмская улица, дом 57",7.709748784198504
230,Юго-Западный административный округ,район Котловка,55.674989714064,37.592723567608,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Котловка, Нагорный бульвар, дом 3",8.193702535534543
